id,question,answer,source,accuracy
260,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？,根据公开信息，武汉兴图新科电子股份有限公司来自军用领域的收入占其主营业务收入的比例较高，通常在90%以上。具体年度数据需查阅其最新财报或公告。,大模型直连,88.0%
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,"武汉兴图新科电子股份有限公司参与制定了《视频指挥系统通用要求》技术标准。
",大模型直连,88.0%
33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,"根据武汉兴图新科电子股份有限公司2023年年度报告，报告期内来自军用领域的收入占主营业务收入的比重为99.99%。
",大模型直连,88.0%
34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,"根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及芯片、电子元器件、PCB板、结构件等供应商。具体企业名称未在招股意向书中明确列出。
",大模型直连,88.0%
957,武汉兴图新科电子股份有限公司在哪个领域已经成为重要供应商？,"武汉兴图新科电子股份有限公司在**国防信息化领域**已成为重要供应商。
",大模型直连,88.0%
793,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括国防军工、政府、公共安全、交通、能源、金融、教育、医疗等行业。,大模型直连,88.0%
795,武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？,"武汉兴图新科电子股份有限公司参与的“某重大国防工程”荣获了国家科技进步一等奖。
",大模型直连,88.0%
543,武汉兴图新科电子股份有限公司注册资本是多少？,武汉兴图新科电子股份有限公司注册资本为1.03亿元人民币。,大模型直连,88.0%
531,武汉兴图新科电子股份有限公司法定代表人是谁？,"武汉兴图新科电子股份有限公司法定代表人是程家明。
",大模型直连,88.0%
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,"根据公开信息，武汉兴图新科电子股份有限公司计划使用本次发行募集资金中的 **1.5亿元** 用于补充流动资金。
",大模型直连,88.0%
