id,question,text_llm_answer,llm_answer,similarity_score,hallucination,hallucination_reason,analysis,text_llm_source,llm_source,text_llm_confidence,llm_confidence
260,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？,"根据证据1，武汉兴图新科电子股份有限公司报告期内来自军用领域的收入（直接军方+间接军方）如下： - 2016年度：直接军方3,433.34万元 + 间接军方3,031.18万元 = 6,464.52万元 - 2017年度：直接军方6,277.49万元 + 间接军方8,136.66万元 = 14,414.15万元 - 2018年度：直接军方5,611.52万元 + 间接军方13,169.15万元 = 18,780.67万元 - 2019年1-6月：直接军方552.83万元 + 间接军方4,074.31万元 = 4,627.14万元",根据公开信息，武汉兴图新科电子股份有限公司来自军用领域的收入占其主营业务收入的比例较高，通常在90%以上。具体年度数据需查阅其最新财报或公告。,18.95,疑似是,文本相似度很低；关键数值全部不一致；回答存在泛化或模糊表述,两份答案差异较大；数值对比：text-llm=18个，LLM=1个，共享=0个；幻觉判断：疑似是；判断依据：文本相似度很低；关键数值全部不一致；回答存在泛化或模糊表述,招股说明书第186页,大模型直连,67.2%,88.0%
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,全军首个视频指挥系统技术标准《某视频技术规范1.0》,武汉兴图新科电子股份有限公司参与制定了《视频指挥系统通用要求》技术标准。,29.58,疑似是,文本相似度很低；基准答案包含关键数值，但大模型未给出对应数值,两份答案差异较大；数值对比：text-llm=1个，LLM=0个，共享=0个；幻觉判断：疑似是；判断依据：文本相似度很低；基准答案包含关键数值，但大模型未给出对应数值,招股说明书第325页,大模型直连,82.0%,88.0%
33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,根据证据1，报告期内武汉兴图新科电子股份有限公司来自军用领域（直接军方+间接军方）的收入占主营业务收入的比重如下： - 2016年度：直接军方43.61% + 间接军方38.50% = 82.11% - 2017年度：直接军方42.38% + 间接军方54.93% = 97.31% - 2018年度：直接军方28.34% + 间接军方66.50% = 94.84% - 2019年1-6月：直接军方11.27% + 间接军方83.07% = 94.34%,根据武汉兴图新科电子股份有限公司2023年年度报告，报告期内来自军用领域的收入占主营业务收入的比重为99.99%。,34.53,疑似是,文本相似度很低；关键数值全部不一致,两份答案差异较大；数值对比：text-llm=18个，LLM=2个，共享=0个；幻觉判断：疑似是；判断依据：文本相似度很低；关键数值全部不一致,招股说明书第186页,大模型直连,58.2%,88.0%
34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,芯片/元器件制造商、软件开发商、硬件设备供应商,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及芯片、电子元器件、PCB板、结构件等供应商。具体企业名称未在招股意向书中明确列出。,15.63,疑似是,文本相似度很低,两份答案差异较大；幻觉判断：疑似是；判断依据：文本相似度很低,招股说明书第489页,大模型直连,82.0%,88.0%
957,武汉兴图新科电子股份有限公司在哪个领域已经成为重要供应商？,军队视频指挥领域,武汉兴图新科电子股份有限公司在**国防信息化领域**已成为重要供应商。,7.84,疑似是,文本相似度很低,两份答案差异较大；幻觉判断：疑似是；判断依据：文本相似度很低,招股说明书第426页,大模型直连,82.0%,88.0%
793,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？,证据不足。,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括国防军工、政府、公共安全、交通、能源、金融、教育、医疗等行业。,2.13,疑似是,检索答案为证据不足，但大模型给出了明确结论,两份答案差异较大；幻觉判断：疑似是；判断依据：检索答案为证据不足，但大模型给出了明确结论,招股说明书第384页,大模型直连,40.0%,88.0%
795,武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？,某情报、指挥、控制与通信网络一体化工程(C4ISR),武汉兴图新科电子股份有限公司参与的“某重大国防工程”荣获了国家科技进步一等奖。,7.36,疑似是,文本相似度很低；基准答案包含关键数值，但大模型未给出对应数值；回答存在泛化或模糊表述,两份答案差异较大；数值对比：text-llm=1个，LLM=0个，共享=0个；幻觉判断：疑似是；判断依据：文本相似度很低；基准答案包含关键数值，但大模型未给出对应数值；回答存在泛化或模糊表述,招股说明书第398页,大模型直连,82.0%,88.0%
543,武汉兴图新科电子股份有限公司注册资本是多少？,"5,520.00万元",武汉兴图新科电子股份有限公司注册资本为1.03亿元人民币。,7.43,疑似是,文本相似度很低；关键数值全部不一致,两份答案差异较大；数值对比：text-llm=1个，LLM=1个，共享=0个；幻觉判断：疑似是；判断依据：文本相似度很低；关键数值全部不一致,招股说明书第64页,大模型直连,82.0%,88.0%
531,武汉兴图新科电子股份有限公司法定代表人是谁？,根据证据，武汉兴图新科电子股份有限公司的法定代表人是程家明。,武汉兴图新科电子股份有限公司法定代表人是程家明。,84.88,否,核心事实一致,两份答案主题接近，但细节存在差异；幻觉判断：否；判断依据：核心事实一致,招股说明书第253页,大模型直连,76.4%,88.0%
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,"15,000.00万元",根据公开信息，武汉兴图新科电子股份有限公司计划使用本次发行募集资金中的 **1.5亿元** 用于补充流动资金。,7.82,疑似是,文本相似度很低；关键数值全部不一致；回答存在泛化或模糊表述,两份答案差异较大；数值对比：text-llm=1个，LLM=1个，共享=0个；幻觉判断：疑似是；判断依据：文本相似度很低；关键数值全部不一致；回答存在泛化或模糊表述,招股说明书第292页,大模型直连,82.0%,88.0%
