id,question,answer,source,Accuracy,Related excerpts,answer-02,source-02,accuracy-02,Related segment-02
260,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？,"根据证据1，武汉兴图新科电子股份有限公司报告期内来自军用领域的收入（直接军方+间接军方）如下：
- 2016年度：直接军方3,433.34万元 + 间接军方3,031.18万元 = 6,464.52万元
- 2017年度：直接军方6,277.49万元 + 间接军方8,136.66万元 = 14,414.15万元
- 2018年度：直接军方5,611.52万元 + 间接军方13,169.15万元 = 18,780.67万元
- 2019年1-6月：直接军方552.83万元 + 间接军方4,074.31万元 = 4,627.14万元
",招股说明书第186页,67.2%,"武汉兴图新科电子股份有限公司 招股意向书 1-1-185 直销情况如下： 单位：万元 项目 2019 年1-6 月 2018 年度 2017 年度 2016 年度 收入 占比 收入 占比 收入 占比 收入 占比 直接军方 552.83 11.27% 5,611.52 28.34% 6,277.49 42.38% 3,433.34 43.61% 间接军方 4,074.31 83.07% 13,169.15 66.50% 8,136.66…
预警控制系统业务实现利用自主研发的一体化视音频服 务平台。综合上述六个方面，呼贝智慧养老平台与视频指挥控制系统、视频预警控制 系统在技术实现方案上存在较大差异。截至报告期末，亲情互联拥有17 项软件著作权，1 项外观专利，软件著作 权如呼贝智慧养老平台关爱版APP 软件（IOS 版）、呼贝智慧养老平台关爱版 APP 软件（Android 版）、呼贝智慧养老平台商家版APP 软件（IOS 版）等，上 述软件均为利用公开协议、开源代码等进…","报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别为：2016年6,464.51万元、2017年14,414.16万元、2018年18,780.67万元、2019年1-6月4,627.14万元。",招股说明书第129页,89.1%,"（ 1 ）行业和客户集中度高 ①行业集中度高的影响发行人产品主要应用于军队的信息化建设，报告期内，公司来自军用领域的收入分别为 6,464.51 万元、 14,414.16 万元、 18,780.67 万元和 4,627.14 万元，占 主营业务收入比重分别为 82.10% 、 97.31% 、 94.84% 和 94.34% 。
….12 17.90% 合计 4,904.71 100.00% 19,802.48 100.00% 14,812.72 100.00% 7,873.63 100.00% 报告期内，公司来自军用领域的收入占比分别为 82.10% 、 97.31% 、 94.84% 和 94.34% ，民品收入主要来自监狱、市政、油田、施工等领域。公司产品主要应用于军队的信息化建设，具体应用于我国国防军队指挥控制系统领域，服务于 “ 科技强军 ” 国家战略。"
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,"全军首个视频指挥系统技术标准《某视频技术规范1.0》
",招股说明书第325页,82.0%,"武汉兴图新科电子股份有限公司 招股意向书 1-1-324 项目 2019 年1-6 月 /2019 年6 月末 2018 年度/末 2017 年度/末 2016 年度/末 （期末数）（元） 无形资产（扣除土地使用权等后）占 净资产的比例（%） 0.20 0.16 0.27 0.55 应收账款周转率（次） 0.26 1.13 1.23 0.74 存货周转率（次） 0.28 1.36 0.97 0.45 息税折旧摊销前利润（万元） 291…
武汉兴图新科电子股份有限公司 招股意向书 1-1-205 微型投影仪 0.12 38.56 0.26 434.45 - - 结构件 0.51 10.85 2.53 297.15 - - 显示设备 0.06 191.07 0.50 36.05 - - 包装耗材 32.25 49.39 1.87 10.53 - - 摄像设备 0.01 22.71 0.01 11.97 - - 其他 0.16 17.26 4.42 6.52 - - 合计 …",全军首个视频指挥系统技术标准《某视频技术规范1.0》,招股说明书第159页,97.9%,"③参与制定行业技术标准公司目前已经成为军队视频指挥领域的重要供应商，参与制定了全军第一个视频指挥系统技术标准（即 2019 年制订的《某视频指挥系统技术规范（ 1.0 版）》）。
截至报告期末，公司获得专利认证 35 项、软件著作权 56 项，且未包括公司尚未申请和尚未获得授权的专利技术和软件著作权，参与制定了全军第一个视频指挥系统技术标准（即《某视频技术规范 1.0 》）。较为雄厚的技术积淀和应用能 力，帮助公司在电子信息领域，尤其在军队指挥信息系统领域具备较强的技术竞 争力。"
33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,"根据证据1，报告期内武汉兴图新科电子股份有限公司来自军用领域（直接军方+间接军方）的收入占主营业务收入的比重如下：
- 2016年度：直接军方43.61% + 间接军方38.50% = 82.11%
- 2017年度：直接军方42.38% + 间接军方54.93% = 97.31%
- 2018年度：直接军方28.34% + 间接军方66.50% = 94.84%
- 2019年1-6月：直接军方11.27% + 间接军方83.07% = 94.34%",招股说明书第186页,58.2%,"武汉兴图新科电子股份有限公司 招股意向书 1-1-185 直销情况如下： 单位：万元 项目 2019 年1-6 月 2018 年度 2017 年度 2016 年度 收入 占比 收入 占比 收入 占比 收入 占比 直接军方 552.83 11.27% 5,611.52 28.34% 6,277.49 42.38% 3,433.34 43.61% 间接军方 4,074.31 83.07% 13,169.15 66.50% 8,136.66…
预警控制系统业务实现利用自主研发的一体化视音频服 务平台。综合上述六个方面，呼贝智慧养老平台与视频指挥控制系统、视频预警控制 系统在技术实现方案上存在较大差异。截至报告期末，亲情互联拥有17 项软件著作权，1 项外观专利，软件著作 权如呼贝智慧养老平台关爱版APP 软件（IOS 版）、呼贝智慧养老平台关爱版 APP 软件（Android 版）、呼贝智慧养老平台商家版APP 软件（IOS 版）等，上 述软件均为利用公开协议、开源代码等进…",根据证据1，报告期内武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别为：2016年度82.10%、2017年度97.31%、2018年度94.84%、2019年1-6月94.34%。,招股说明书第129页,96.9%,"（ 1 ）行业和客户集中度高 ①行业集中度高的影响发行人产品主要应用于军队的信息化建设，报告期内，公司来自军用领域的收入分别为 6,464.51 万元、 14,414.16 万元、 18,780.67 万元和 4,627.14 万元，占 主营业务收入比重分别为 82.10% 、 97.31% 、 94.84% 和 94.34% 。
….12 17.90% 合计 4,904.71 100.00% 19,802.48 100.00% 14,812.72 100.00% 7,873.63 100.00% 报告期内，公司来自军用领域的收入占比分别为 82.10% 、 97.31% 、 94.84% 和 94.34% ，民品收入主要来自监狱、市政、油田、施工等领域。公司产品主要应用于军队的信息化建设，具体应用于我国国防军队指挥控制系统领域，服务于 “ 科技强军 ” 国家战略。"
34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,芯片/元器件制造商、软件开发商、硬件设备供应商,招股说明书第489页,82.0%,"公司作 为买受人已与出卖人武汉天研科技开发有限公司签署了《商品房买卖意向协议 书》，意向地址为武汉东湖高新开发区大学园路29 号光谷物联港的4 号楼和5 号楼。本项目的实施对办公场所无特殊要求，武汉市可供出售的办公场所充足，公 司将根据本项目的具体进度安排确定办公场所的正式购置时间。如公司未能如期 购置实施本项目的办公场所，公司将先行采取租赁房产的形式实施本项目，并尽 快使用募集资金购置办公场所。6、项目与发行人现有主要业务、核心技术…
武汉兴图新科电子股份有限公司 招股意向书 1-1-86 100.00% 亲情互联 55.00% 耆爱之家 通过亲情互联持股51.00% 兴图投资 55.85% 陈爱民 兴图投资 14.29% 董事、副总经理 姚小华 兴图投资 3.57% 董事、董事会秘书、 副总经理 黄加 倍杰特集团股份有限公司 0.16% 董事 孔繁东 兴图投资 3.18% 副总经理 王显利 兴图投资 1.09% 副总经理 马超 兴图投资 1.88% 财务总监 陈升…",芯片/元器件制造商、软件开发商、硬件设备供应商,招股说明书第152页,91.3%,"1 、行业上下游情况 电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、 机柜等金属壳体制造企业，竞争充分，采购便利。下游行业为各类终端用户，覆盖范围广泛，主要包括军队、政府机关、能源等行业企业。此外，大型的电子信息系统组成较为复杂，从而需要集成商作为总体集成单位统一协调部署实施。
项目协办人：王 静保荐代表人：法定代表人：李 玮年 月 日声明本人已认真阅读武汉兴图新科电子股份有限公司招股意向书的全部内容，确认招股意向书不存在虚假记载、误导性陈述或重大遗漏，并对招股意向书真实性、 准确性、完整性承担相应的法律责任。
"
957,武汉兴图新科电子股份有限公司在哪个领域已经成为重要供应商？,军队视频指挥领域,招股说明书第426页,82.0%,"性差等问题导致的回款速度较慢所致。其中，有523.19 万元 预计难以收回，公司对此已全额计提坏账准备。公司正在积极跟进其余民品客户 应收款项，以促进款项收回。⑤民品客户5 年以上大额应收账款说明 A、民品客户5 年以上大额应收账款情况 截至2019 年6 月30 日，民品客户5 年以上大额应收账款情况如下表所示： 单位：万元 客户名称 账面余额 账龄 收入确认金 额（含税） 收入确 认时间 交易背景 可回收性 昆明昆联科技有限 公司…
。固定资产在同时满足经济利益很可能流入、成本 能够可靠计量时予以确认。2、各类固定资产的折旧方法 固定资产从其达到预定可使用状态的次月起采用年限平均法计提折旧。各类 固定资产的使用寿命、估计残值率和年折旧率如下： 类别 折旧方法 折旧年限（年） 残值率（%） 年折旧率（%） 房屋及建筑物 年限平均法 20-40 5 2.38-4.75 电子设备 年限平均法 3-5 5 19.00-31.67 运输工具 年限平均法 4-5 5 19.0…",根据证据1，武汉兴图新科电子股份有限公司在军队视频指挥领域已经成为重要供应商。,招股说明书第159页,90.6%,"③参与制定行业技术标准公司目前已经成为军队视频指挥领域的重要供应商，参与制定了全军第一个视频指挥系统技术标准（即 2019 年制订的《某视频指挥系统技术规范（ 1.0 版）》）。
1 、发行人：武汉兴图新科电子股份有限公司 办公地址：湖北省武汉市东湖新技术开发区关山大道 1 号软件产业三期 A3栋 8 层 联系电话： 027-87179095传真： 027-81979095联系人：陈尧
"
793,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？,证据不足。,招股说明书第384页,40.0%,"武汉兴图新科电子股份有限公司 招股意向书 1-1-383 报告期内，公司销售费用中交通及差旅费分别为219.46 万元、295.83 万元、、 321.48 万元和145.17 万元。2016 至2018 年呈现上涨趋势，主要由公司加大业务 开拓力度，销售人员出差频率增加所致。3）业务招待费 报告期内，公司业务招待费分别为134.40 万元、244.40 万元、201.60 万元 和113.73 万元。2017 年度较2016 年度增…
其中，预付供应商西藏知珠信息科技有限公司150.51 万元，用于采购LED 显示 屏产品，由于公司相关销售业务尚处于执行过程中，故该批产品尚未交付，账龄 较长；预付深圳酷影时代商贸有限公司84.87 万元，用于采购微型投影仪设备， 公司基于对销售情况和库存量的判断，尚未安排提货，使得账龄较长。（5）其他应收款 公司报告期末其他应收款账面价值分别为142.73 万元、139.24 万元、111.33 万元和154.34 万元，主要由押金…",根据证据1，电子信息行业的下游主要包括军队、政府机关、能源等行业企业。,招股说明书第152页,91.6%,"1 、行业上下游情况 电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、 机柜等金属壳体制造企业，竞争充分，采购便利。下游行业为各类终端用户，覆盖范围广泛，主要包括军队、政府机关、能源等行业企业。此外，大型的电子信息系统组成较为复杂，从而需要集成商作为总体集成单位统一协调部署实施。
一、基本用语 发行人、兴图新科、 本公司、公司 指 武汉兴图新科电子股份有限公司 本招股意向书、招股意向书 指 武汉兴图新科电子股份有限公司首次公开发行股票招股意向书 兴图新科有限 指 武汉兴图新科电子有限公司，发行人前身 华创兴图 指 北京华创兴图电子科技有限公司，发行人全资子公司 兴图天建 指 湖北兴图天建科技有限公司，发行人全资子公司 武汉启目 指 武汉启目科技有限公司，发行人全资子公司 北京启目 指 北京启目科技有限公司，武汉启…"
795,武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？,某情报、指挥、控制与通信网络一体化工程(C4ISR),招股说明书第398页,82.0%,"武汉兴图新科电子股份有限公司 招股意向书 1-1-397 未来随着公司盈利能力持续增长，公司将不断提高研发人员薪资水平，加强 研发力度，增强核心产品竞争力。（6）稳定研发队伍的相关制度 公司构建了薪酬福利、晋升体系、股权激励等方面的制度，以稳定研发队伍， 具体包括： ①公司参考经济环境和行业薪酬水平，制定了较为合理的薪酬制度 公司定期对行业薪酬情况进行调研，并对外部、内部薪酬调研数据进行分析， 对公司各部门包括研发部门的员工薪酬进行调…
武汉兴图新科电子股份有限公司 招股意向书 1-1-311 （2）与资产相关的政府补助判断依据及会计处理方法 政府文件规定用于购建或以其他方式形成长期资产的政府补助划分为与资 产相关的政府补助。政府文件不明确的，以取得该补助必须具备的基本条件为基 础进行判断，以购建或其他方式形成长期资产为基本条件的作为与资产相关的政 府补助。与资产相关的政府补助，冲减相关资产的账面价值或确认为递延收益。与资产相关的政府补助确认为递延收益的，在相关资产使…",某情报、指挥、控制与通信网络一体化工程(C4ISR),招股说明书第157页,99.0%,"②参与项目获得国家级奖项 A. 国家科技进步一等奖 2014 年 12 月，某大型研究所牵头承担的 “ 某情报、指挥、控制与通信网络一体化工程 ” （即相当于美军的 C4ISR 系统）荣获国家科技进步一等奖。该工程参与建设单位包括项目主管部门、总体单位、国有科研机构等，根据总体单位、 军方用户出具的证明文件和承研合同，民营企业兴图新科是该工程网络化视频指挥系统的唯一参与者，但未能列入获奖名单。
此后，该项目不断进行迭代升级，在建设过程中不断试验、提升系统的能力。 2014 年 12 月，“某情报、指挥、控制与通信网络一体化工程”荣获国家科技进步一等奖。该工程参与建设单位包括项目主管部门、总体单位、国有科研机构等， 根据总体单位、军方用户出具的证明文件，民营企业兴图新科是该工程网络化视频指挥系统的唯一参与者，但未能列入获奖名单。
"
543,武汉兴图新科电子股份有限公司注册资本是多少？,"5,520.00万元",招股说明书第64页,82.0%,"武汉兴图新科电子股份有限公司 招股意向书 1-1-63 法定代表人 程家明 注册资本 100万元 实收资本 100万元 成立日期 2016年6月2日 统一社会信用代码 91110106MA005YN38M 经营范围 技术开发、技术咨询、技术转让、技术服务；软件开发；计算机系 统服务；销售计算机软硬件及辅助设备、电子产品。（企业依法自 主选择经营项目，开展经营活动；依法须经批准的项目，经相关部 门批准后依批准的内容开展经营活动；不得从事…
武汉兴图新科电子股份有限公司 招股意向书 1-1-62 公司类型 有限责任公司 注册地及主要生产经 营地 武汉市东湖新技术开发区关山大道1号软件产业三期A3栋8层04号 法定代表人 程家明 注册资本 100万元 实收资本 100万元 成立日期 2016年05月03日 统一社会信用代码 91420100MA4KMH5B0X 经营范围 计算机软硬件、智能数码产品、通讯设备、音视频编解码设备及计 算机外围电子产品的设计与开发、技术咨询、技术…","根据证据，武汉兴图新科电子股份有限公司的注册资本为5,520.00万元（或5,520万元）。",招股说明书第22页,99.0%,"（一）发行人基本情况 中文名称 武汉兴图新科电子股份有限公司 有限公司成立日 2004 年 6 月 17 日 Co.,Ltd. 注册资本 5,520.00 万元 法定代表人 程家明注册地址8 层 行业分类 C39 计算机、通信和其他电子设备不适用制造业市的情况发行人律公司
一、发行人的基本情况 公司名称：武汉兴图新科电子股份有限公司英文名称： Wuhan Xingtu Xinke Electronics Co.,Ltd. 法定代表人：程家明 注册资本： 5,520 万元实收资本： 5,520 万元注册地址：湖北省武汉东湖新技术开发区关山大道 1 号软件产业三期 A3 栋 8 层 兴图新科有限成立日期： 2004 年 6 月 17 日 兴图新科成立日期： 2011 年 1 月 26 日 邮政编码： 4300…"
531,武汉兴图新科电子股份有限公司法定代表人是谁？,根据证据，武汉兴图新科电子股份有限公司的法定代表人是程家明。,招股说明书第253页,76.4%,"气安装、餐 饮服务、食品经营（涉及许可项目应取 得相关部门许可后经营）；家政服务；餐饮管理（不含餐饮）；保洁服务；会 议及展览服务；营养健康咨询（不含诊 疗）；日用品、初级农产品、建材、电 子产品、清洁用品、智能设备、家具、 金属制品、医疗器械Ⅰ类、Ⅱ类批零兼营 （依法须经审批的项目，经相关部门审 批后方可开展经营活动）。线下养老类服务 （已注销） 5 兴图投 资 55.85% 软件行业投资。（国家有专项规定的项 目经审批后或凭许可证…
武汉兴图新科电子股份有限公司 招股意向书 1-1-62 公司类型 有限责任公司 注册地及主要生产经 营地 武汉市东湖新技术开发区关山大道1号软件产业三期A3栋8层04号 法定代表人 程家明 注册资本 100万元 实收资本 100万元 成立日期 2016年05月03日 统一社会信用代码 91420100MA4KMH5B0X 经营范围 计算机软硬件、智能数码产品、通讯设备、音视频编解码设备及计 算机外围电子产品的设计与开发、技术咨询、技术…",法定代表人：程家明,招股说明书第22页,91.4%,"（一）发行人基本情况 中文名称 武汉兴图新科电子股份有限公司 有限公司成立日 2004 年 6 月 17 日 Co.,Ltd. 注册资本 5,520.00 万元 法定代表人 程家明注册地址8 层 行业分类 C39 计算机、通信和其他电子设备不适用制造业市的情况发行人律公司
一、发行人的基本情况 公司名称：武汉兴图新科电子股份有限公司英文名称： Wuhan Xingtu Xinke Electronics Co.,Ltd. 法定代表人：程家明 注册资本： 5,520 万元实收资本： 5,520 万元注册地址：湖北省武汉东湖新技术开发区关山大道 1 号软件产业三期 A3 栋 8 层 兴图新科有限成立日期： 2004 年 6 月 17 日 兴图新科成立日期： 2011 年 1 月 26 日 邮政编码： 4300…"
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,"15,000.00万元",招股说明书第292页,82.0%,"金融资产在资产负债表中列示的账面价值；对于以公允价 值计量且其变动计入其他综合收益的债权投资，公司在其他综合收益中确认其损 失准备，不抵减该金融资产的账面价值。2）按组合评估预期信用风险和计量预期信用损失的金融工具 项目 确定组合的依据 计量预期信用损失的方法 其他应收款 ——信用风险特征 组合 除合并范围内关联 方以外的全部其他 应收款 参考历史信用损失经验，结合当前状况以及对未 来经济状况的预测，分别确认12个月预期信用损 失与整…
武汉兴图新科电子股份有限公司 招股意向书 1-1-482 第二十条 使用闲置募集资金投资产品的，应当经公司董事会审议通过，独 立董事、监事会、保荐机构发表明确同意意见。公司应当在董事会会议后2 个交易日内公告下列内容： （一）本次募集资金的基本情况，包括募集时间、募集资金金额、募集资金 净额及投资计划等；（二）募集资金使用情况；（三）闲置募集资金投资产品的额度及期限；（四）募集资金闲置的原因，是否存在变相改变募集资金用途的行为和保证 …","15,000.00万元",招股说明书第490页,90.5%,"1 、项目概况 为满足公司业务发展和新产品研发等对营运资金的需求，增强公司抗风险能力，公司在满足上述募集资金投资项目资金需求的同时，拟使用本次发行募集资金 15,000 万元用于补充流动资金。
第二十一条 公司可以用闲置募集资金暂时用于补充流动资金，但应当符合以下条件："
